Name,Baseball Reference ID,RetroSheet ID
Denyi Reyes,reyesde02,reyed002
Dereck Rodríguez,rodride01,rodrd001
Derek Hill,hillde01,hilld002
Derek Law,lawde01,law-d001
Dermis Garcia,garcide02,garcd004
Deven Marrero,marrede01,marrd001
Devin Smeltzer,smeltde01,smeld001
Devin Williams,willide03,willd004
Didi Gregorius,gregodi01,gregd001
Diego Castillo,castidi01,castd002
Diego Castillo,castidi02,castd004
Dillon Peters,peterdi01,peted001
Dillon Tate,tatedi01,tated001
Dillon Thomas,thomadi01,thomd004
Dinelson Lamet,lametdi01,lamed001
Dixon Machado,machadi01,machd001
Dom Nuñez,nunezdo01,nuned001
Domingo Acevedo,acevedo01,acevd001
Domingo Germán,germado01,germd001
Domingo Tapia,tapiado01,tapid001
Dominic Leone,leonedo01,leond003
Dominic Smith,smithdo02,smitd008
Donny Sands,sandsdo01,sandd004
Donovan Solano,solando01,solad001
Donovan Walton,waltodo01,waltd002
Drew Carlton,carltdr01,carld003
Drew Ellis,ellisdr01,ellid002
Drew Hutchison,hutchdr01,hutcd001
Drew Jackson,jacksdr01,jackd004
Drew Rasmussen,rasmudr01,rasmd002
Drew Smith,smithdr01,smitd009
Drew Smyly,smylydr01,smyld001
Drew Steckenrider,steckdr01,stecd001
Drew VerHagen,verhadr01,verhd001
Drew Waters,waterdr01,wated001
Drey Jameson,jamesdr01,jamed003
Duane Underwood Jr.,underdu01,unded001
Dusten Knight,knighdu01,knigd001
Dustin Garneau,garnedu01,garnd001
Dustin May,maydu01,may-d003
Dylan Bundy,bundydy01,bundd001
Dylan Carlson,carlsdy01,carld002
Dylan Cease,ceasedy01,ceasd001
Dylan Coleman,colemdy01,coled003
Dylan Floro,florody01,flord002
Dylan Lee,leedy01,lee-d005
Dylan Moore,mooredy01,moord002
Easton McGee,mcgeeea01,mcgee001
Eddie Rosario,rosared01,rosae001
Eddy Alvarez,alvared01,alvae001
Edmundo Sosa,sosaed01,sosae001
Eduard Bazardo,bazared01,bazae001
Eduardo Escobar,escobed01,escoe001
Eduardo Rodriguez,rodried05,rodre004
Edward Cabrera,cabreed02,cabre003
Edward Olivares,olivaed02,olive001
Edwin Díaz,diazed04,diaze006
Edwin Rios,riosed01,riose001
Edwin Uceta,ucetaed01,ucete001
Eguy Rosario,rosareg01,rosae002
Ehire Adrianza,adriaeh01,adrie001
Elehuris Montero,monteel01,monte001
Eli Morgan,morgael01,morge001
Eli White,whiteel04,white006
Elias Díaz,diazel01,diaze005
Elier Hernandez,hernael02,herne003
Elieser Hernandez,hernael01,herne002
Eloy Jiménez,jimenel02,jimee001
Elvin Rodriguez,rodriel02,rodre005
Elvis Andrus,andruel01,andre001
Elvis Peguero,pegueel01,pegue001
Emilio Pagán,paganem01,pagae001
Emmanuel Clase,claseem01,clase001
Emmanuel Rivera,riverem01,rivee001
Ender Inciarte,inciaen01,incie001
Enoli Paredes,pareden01,paree003
Enrique Hernández,hernaen02,herne001
Enyel De Los Santos,delosen01,deloe001
Erasmo Ramírez,ramirer02,ramie004
Eric Haase,haaseer01,haase001
Eric Hosmer,hosmeer01,hosme001
Eric Lauer,lauerer01,lauee001
Eric Stout,stouter01,stoue001
Erich Uelmen,uelmeer01,uelme001
Erick Fedde,feddeer01,fedde001
Erik González,gonzaer01,gonze004
Erik Swanson,swanser01,swane001
Ernie Clement,clemeer01,cleme002
Esteban Quiroz,quiroes01,quire001
Esteury Ruiz,ruizes01,ruize001
Estevan Florial,flories01,flore001
Ethan Roberts,roberet01,robee001
Ethan Small,smallet01,smale001
Eugenio Suárez,suareeu01,suare001
Evan Lee,leeev01,lee-e001
Evan Longoria,longoev01,longe001
Evan Phillips,phillev01,phile001
Ezequiel Duran,duranez01,durae002
Ezequiel Tovar,tovarez01,tovae001
Fernando Cruz,cruzfe01,cruzf002
Ford Proctor,proctfo01,procf001
Foster Griffin,grifffo01,griff001
Framber Valdez,valdefr01,valdf001
Franchy Cordero,cordefr02,cordf003
Francisco Lindor,lindofr01,lindf001
Francisco Mejía,mejiafr01,mejif001
Francisco Morales,moralfr02,moraf002
Francisco Perez,perezfr01,peref002
Francisco Álvarez,alvarfr01,alvaf001
Frank Schwindel,schwifr01,schwf001
Frankie Montas,montafr02,montf001
Franklin German,germafr02,germf002
Franmil Reyes,reyesfr01,reyef001
Freddie Freeman,freemfr01,freef001
Freddy Fermin,fermifr01,fermf002
Freddy Peralta,peralfr01,peraf001
Freddy Tarnok,tarnofr01,tarnf001
Félix Bautista,bautife01,bautf001
Gabe Speier,speiega01,speig001
Gabriel Arias,ariasga01,ariag002
Gabriel Moreno,morenga01,moreg001
Garrett Cleavinger,cleavga01,cleag001
Garrett Cooper,coopega03,coopg002
Garrett Hampson,hampsga01,hampg001
Garrett Hill,hillga02,hillg002
Garrett Mitchell,mitchga01,mitcg001
Garrett Richards,richaga01,richg002
Garrett Stubbs,stubbga01,stubg001
Garrett Whitlock,whitlga01,whitg002
Gary Sanchez,sanchga02,sancg002
Gavin Hollowell,holloga01,hollg002
Gavin Lux,luxga01,lux-g001
Gavin Sheets,sheetga01,sheeg001
George Kirby,kirbyge01,kirbg001
George Springer,springe01,sprig001
Geraldo Perdomo,perdoge01,perdg001
Gerardo Reyes,reyesge01,reyeg002
Germán Márquez,marquge01,marqg001
Gerrit Cole,colege01,coleg001
Giancarlo Stanton,stantmi03,stanm004
Gilberto Celestino,celesgi01,celeg001
Gio Urshela,urshegi01,urshg001
Giovanny Gallegos,gallegi01,gallg001
Glenn Otto,ottogl01,ottog001
Gleyber Torres,torregl01,torrg001
Gosuke Katoh,katohgo01,katog001
Graham Ashcraft,ashcrgr01,ashcg001
Grayson Greiner,greingr01,greig001
Greg Allen,allengr01,alleg002
Greg Holland,hollagr01,hollg001
Greg Weissert,weissgr01,weisg001
Gregory Santos,santogr01,santg001
Gregory Soto,sotogr01,sotog003
Griffin Jax,jaxgr01,jax-g001
Guillermo Heredia,heredgu01,hereg002
Gunnar Henderson,hendegu01,hendg002
Génesis Cabrera,cabrege01,cabrg001
Ha-Seong Kim,kimha01,kim-h002
Hansel Robles,robleha01,roblh001
Hanser Alberto,alberha01,albeh001
Harold Castro,castrha01,casth001
Harold Ramírez,ramirha02,ramih004
Harrison Bader,baderha01,badeh001
Hayden Wesneski,wesneha01,wesnh001
Heath Hembree,hembrhe01,hembh001
Heliot Ramos,ramoshe02,ramoh002
Hirokazu Sawamura,sawamhi01,sawah001
Hoby Milner,milneho01,milnh001
Hoy Park,parkho01,parkh001
Huascar Brazoban,brazohu01,brazh001
Huascar Ynoa,ynoahu01,ynoah001
Humberto Castellanos,castehu01,casth002
Hunter Brown,brownhu01,browh001
Hunter Dozier,doziehu01,dozih001
Hunter Gaddis,gaddihu01,gaddh001
Hunter Greene,greenhu01,greeh001
Hunter Harvey,harvehu01,harvh001
Hunter Renfroe,renfrhu01,renfh001
Hunter Strickland,strichu01,strih001
Hyun Jin Ryu,ryuhy01,ryu-h001
Héctor Neris,nerishe01,nerih001
Ian Anderson,anderia01,andei001
Ian Gibaut,gibauia01,gibai001
Ian Hamilton,hamilia01,hamii001
Ian Happ,happia01,happi001
Ian Kennedy,kenneia01,kenni001
Ildemaro Vargas,vargail01,vargi001
Isaac Paredes,paredis01,parei001
Isiah Kiner-Falefa,kineris01,kinei001
Israel Pineda,pinedis01,pinei001
Iván Herrera,herreiv01,herri001
J.B. Wendelken,wendejb01,wendj001
J.C. Mejía,mejiaje02,mejij002
J.D. Davis,davisjd01,davij006
J.D. Martinez,martijd02,martj006
J.J. Matijevic,matijjj01,matij001
J.P. Crawford,crawfjp01,crawj002
J.P. Feyereisen,feyerjo01,feyej001
J.T. Realmuto,realmjt01,realj001
JJ Bleday,bledajj01,bledj001
JP Sears,searsjp01,searj001
JT Brubaker,brubajt01,brubj001
JT Chargois,chargjt01,charj001
JT Riddle,riddljt01,riddj001
Jace Peterson,peterja01,petej002
Jack Flaherty,flaheja01,flahj002
Jack Larsen,larseja01,larsj001
Jack Mayfield,mayfija01,mayfj001
Jack Suwinski,suwinja01,suwij001
Jackie Bradley Jr.,bradlja02,bradj001
Jackson Frazier,frazicl01,frazc001
Jackson Kowar,kowarja01,kowaj001
Jackson Stephens,stephja01,stepj002
Jackson Tetreault,tetreja01,tetrj001
Jacob Barnes,barneja01,barnj002
Jacob Lemoine,lemoija01,lemoj001
Jacob Stallings,stallja01,stalj001
Jacob deGrom,degroja01,degrj001
Jaime Barria,barrija01,barrj003
Jake Bird,birdja01,birdj001
Jake Brentz,brentja01,brenj001
Jake Burger,burgeja01,burgj001
Jake Cave,caveja01,cavej001
Jake Cousins,cousija01,cousj001
Jake Cronenworth,croneja01,cronj001
Jake Diekman,diekmja01,diekj001
Jake Fishman,fishmja01,fishj002
Jake Fraley,fraleja01,fralj001
Jake Hager,hagerja01,hagej001
Jake Lamb,lambja01,lambj001
Jake Marisnick,marisja01,marij002
Jake McCarthy,mccarja02,mccaj003
Jake McGee,mcgeeja01,mcgej001
Jake Meyers,meyerja02,meyej002
Jake Odorizzi,odorija01,odorj001
Jake Reed,reedja02,reedj005
Jake Walsh,walshja02,walsj002
Jake Woodford,woodfja01,woodj003
Jakob Junis,junisja01,junij001
Jalen Beeks,beeksja02,beekj001
James Kaprielian,kaprija01,kaprj001
James Karinchak,karinja01,karij001
James McCann,mccanja02,mccaj001
James Naile,naileja01,nailj001
James Norwood,norwoja01,norwj001
James Outman,outmaja01,outmj002
Jameson Taillon,taillja01,tailj001
Jandel Gustave,gustaja01,gustj001
Janson Junk,junkja01,junkj001
Jared Koenig,koenija01,koenj001
Jared Solomon,solomja01,soloj001
Jared Walsh,walshja01,walsj001
Jared Young,youngja02,younj003
Jarlín García,garcija04,garcj006
Jarred Kelenic,kelenja01,kelej001
Jarren Duran,duranja01,duraj001
Jason Adam,adamja01,adamj002
Jason Alexander,alexaja01,alexj001
Jason Castro,castrja01,castj006
Jason Delay,delayja01,delaj004
Jason Foley,foleyja01,folej001
Jason Heyward,heywaja01,heywj001
Jason Krizan,krizaja01,krizj001
Jason Vosler,vosleja01,voslj001
Javier Assad,assadja01,assaj001
Javier Báez,baezja01,baezj001
Javy Guerra,guerrja02,guerj004
Jay Jackson,jacksja01,jackj001
Jaylin Davis,davisja03,davij008
Jazz Chisholm Jr.,chishja01,chisj001
Jean Segura,segurje01,seguj002
Jed Lowrie,lowrije01,lowrj001
Jeff Brigham,brighje01,brigj002
Jeff Hoffman,hoffmje02,hoffj003
Jeff McNeil,mcneije01,mcnej002
Jeffrey Springs,sprinje01,sprij001
Jeimer Candelario,candeje01,candj002
Jerad Eickhoff,eickhje01,eickj001
Jerar Encarnacion,encarje01,encaj002
Jeremiah Estrada,estraje01,estrj002
Jeremy Beasley,beaslje01,beasj001
Jeremy Peña,penaje02,penaj004
Jermaine Palacios,palacje01,palaj002
Jesse Chavez,chaveje01,chavj001
Jesse Winker,winkeje01,winkj002
Jesus Cruz,cruzje01,cruzj006
Jesus Tinoco,tinocje01,tinoj001
Jesús Aguilar,aguilje01,aguij001
Jesús Luzardo,luzarje01,luzaj001
Jesús Sánchez,sanchje02,sancj003
Jeter Downs,downsje01,downj001
Jeurys Familia,familje01,famij001
Jharel Cotton,cottojh01,cottj001
Jhoan Duran,duranjh01,duraj002
Jhon Romero,romerjh01,romej003
Jhonathan Diaz,diazjh01,diazj007
Jhoulys Chacín,chacijh01,chacj001
Ji Hwan Bae,baeji01,bae-j001
Ji-Man Choi,choiji01,choij001
Jimmy Herget,hergeji01,hergj001
Jimmy Lambert,lambeji01,lambj003
Jimmy Yacabonis,yacabji01,yacaj001
Jo Adell,adelljo01,adelj001
JoJo Romero,romerjo01,romej002
Joan Adon,adonjo01,adonj001
Joc Pederson,pederjo01,pedej001
Joe Barlow,barlojo01,barlj001
Joe Dunand,dunanjo01,dunaj001
Joe Jiménez,jimenjo02,jimej003
Joe Kelly,kellyjo05,kellj001
Joe Mantiply,mantijo01,mantj002
Joe Musgrove,musgrjo01,musgj001
Joe Perez,perezjo02,perej003
Joe Ryan,ryanjo04,ryanj002
Joe Smith,smithjo05,smitj002
Joel Kuhnel,kuhnejo01,kuhnj001
Joel Payamps,payamjo01,payaj001
Joely Rodríguez,rodrijo06,rodrj004
Joey Bart,bartjo01,bartj003
Joey Gallo,gallojo01,gallj002
Joey Krehbiel,krehbjo01,krehj001
Joey Meneses,menesjo01,menej001
Joey Votto,vottojo01,vottj001
Joey Wendle,wendljo01,wendj002
Joey Wentz,wentzjo01,wentj001
Johan Camargo,camarjo01,camaj001
Johan Oviedo,oviedjo01,oviej001
John Brebbia,brebbjo01,brebj001
John King,kingjo01,kingj002
John Means,meansjo01,meanj001
John Schreiber,schrejo01,schrj001
Johnny Cueto,cuetojo01,cuetj001
Jon Berti,bertijo01,bertj001
Jon Gray,grayjo02,grayj003
Jonah Bride,bridejo01,bridj001
Jonah Heim,heimjo01,heimj001
Jonathan Aranda,arandjo01,aranj001
Jonathan Araúz,arauzjo01,arauj001
Jonathan Davis,davisjo05,davij007
Jonathan Heasley,heasljo01,heasj001
Jonathan Hernández,hernajo02,hernj004
Jonathan India,indiajo01,indij001
Jonathan Loáisiga,loaisjo01,loaij001
Jonathan Schoop,schoojo01,schoj001
Jonathan Villar,villajo01,villj001
Jordan Diaz,diazjo03,diazj008
Jordan Groshans,groshjo01,grosj001
Jordan Hicks,hicksjo03,hickj002
Jordan Holloway,hollojo01,hollj002
Jordan Luplow,luplojo01,luplj001
Jordan Lyles,lylesjo01,lylej001
